rule	label	entry	dsl	note
createstatement	createEntityAs	action	create account as acct	#1244: no row while the coverage guard was dead
localvariables	localFixedUndef	context	local fixed x	#1244: no row while the coverage guard was dead
localvariables	localFixedInit	context	local fixed x = 100fp	#1244: no row while the coverage guard was dead
localvariables	localFixedDefined	context	local fixed n	#1244: grammar-unreachable, parses as localFixedUndef (typedLong and undefinedIdent are both IDENT); same for localLongDefined, localDoubleDefined
forallctl	forallReverse	context	for all accounts in reverse	#1244: no row while the coverage guard was dead
forallctl	forallReverseWhere	context	for all accounts in reverse where true	#1244: no row while the coverage guard was dead
forallctl	forallTypeEntities	context	for all account entities	#1244: no row while the coverage guard was dead
forallctl	forallTypeEntitiesWhere	context	for all account entities where true	#1244: no row while the coverage guard was dead
forallctl	forallAs	context	for all accounts as acct	#1244: no row while the coverage guard was dead
forallctl	forallAsWhere	context	for all accounts as acct where true	#1244: no row while the coverage guard was dead
forallblock	forallBlockReverse	action	for all accounts in reverse { set x = 1; }	#1244: no row while the coverage guard was dead
forallblock	forallBlockReverseWhere	action	for all accounts in reverse where true { set x = 1; }	#1244: no row while the coverage guard was dead
performstatement	performDynamicTable	action	perform table named ("T")	#1244: no row while the coverage guard was dead
numexpr	numNegate	condition	- 1.0 > 0.0	#1244: no row while the coverage guard was dead
numexpr	numMulDiv	condition	1.0 * 2.0 > 0.0	#1244: no row while the coverage guard was dead
numexpr	numAddSub	condition	1.0 + 2.0 > 0.0	#1244: no row while the coverage guard was dead
numexpr	numFexpr	condition	1.0 > 0.0	#1244: no row while the coverage guard was dead
numexpr	numIntLiteral	condition	1 > 0	#1244: no row while the coverage guard was dead
numexpr	numFpLiteral	condition	1fp > 0fp	#1244: no row while the coverage guard was dead
numexpr	numIexpr	condition	get yearof (date) "2020-01-01" > 0	#1244: no row while the coverage guard was dead
eexpr	entityFirstOf	condition	first of accounts == account	#1244: no row while the coverage guard was dead
dexpr	dateCurrentDateInZone	condition	current date in zone "UTC" is equal to (date) "2020-01-01"	#1244: no row while the coverage guard was dead
dexpr	dateFirstOfYearInZone	condition	first of years of (date) "2020-01-01" in zone "UTC" is equal to (date) "2020-01-01"	#1244: no row while the coverage guard was dead
dexpr	dateFirstOfMonthInZone	condition	first of months of (date) "2020-01-01" in zone "UTC" is equal to (date) "2020-01-01"	#1244: no row while the coverage guard was dead
dexpr	dateEndOfMonthInZone	condition	end of months of (date) "2020-01-01" in zone "UTC" is equal to (date) "2020-01-01"	#1244: no row while the coverage guard was dead
dexpr	dateFirstOfWeekStartingInZone	condition	first of weeks of (date) "2020-01-01" starting "sunday" in zone "UTC" is equal to (date) "2020-01-01"	#1244: no row while the coverage guard was dead
dexpr	dateFirstOfWeekStarting	condition	first of weeks of (date) "2020-01-01" starting "sunday" is equal to (date) "2020-01-01"	#1244: no row while the coverage guard was dead
dexpr	dateFirstOfWeekInZone	condition	first of weeks of (date) "2020-01-01" in zone "UTC" is equal to (date) "2020-01-01"	#1244: no row while the coverage guard was dead
dexpr	dateFirstOfWeek	condition	first of weeks of (date) "2020-01-01" is equal to (date) "2020-01-01"	#1244: no row while the coverage guard was dead
dexpr	dateEndOfWeekStartingInZone	condition	end of weeks of (date) "2020-01-01" starting "sunday" in zone "UTC" is equal to (date) "2020-01-01"	#1244: no row while the coverage guard was dead
dexpr	dateEndOfWeekStarting	condition	end of weeks of (date) "2020-01-01" starting "sunday" is equal to (date) "2020-01-01"	#1244: no row while the coverage guard was dead
dexpr	dateEndOfWeekInZone	condition	end of weeks of (date) "2020-01-01" in zone "UTC" is equal to (date) "2020-01-01"	#1244: no row while the coverage guard was dead
dexpr	dateEndOfWeek	condition	end of weeks of (date) "2020-01-01" is equal to (date) "2020-01-01"	#1244: no row while the coverage guard was dead
dexpr	dateFirstOfQuarterInZone	condition	first of quarters of (date) "2020-01-01" in zone "UTC" is equal to (date) "2020-01-01"	#1244: no row while the coverage guard was dead
dexpr	dateFirstOfQuarter	condition	first of quarters of (date) "2020-01-01" is equal to (date) "2020-01-01"	#1244: no row while the coverage guard was dead
dexpr	dateEndOfQuarterInZone	condition	end of quarters of (date) "2020-01-01" in zone "UTC" is equal to (date) "2020-01-01"	#1244: no row while the coverage guard was dead
